,first,second,AB,A~B,~AB,~A~B,chisquare,percentDependence
34181,drain,temperature,14,8,361,742,7.93355415,3.65535248
34315,drain_temp_increased,drain_temp_increased,7,0,0,1118,969.0913498,100
34424,drain_temp_increased,increase,7,0,334,784,13.04496397,2.052785924
34578,drain_temp_increased,temp_increased,7,0,55,1063,103.1989333,11.29032258
34714,drain_temperature,drain_temperature,6,0,0,1119,944.3911428,100
34977,drain_temperature,temperature,6,0,369,750,9.236762735,1.6
36310,drop,drop,47,0,0,1078,1100.158895,100
36414,drop,increase,7,40,334,744,4.784006847,1.837270341
36498,drop,pressure,15,32,130,948,14.09484908,8.474576271
36709,drum,drum,12,0,0,1113,1032.234686,100
37507,drum_level,drum_level,9,0,0,1116,1002.520387,100
38305,duct,duct,9,0,0,1116,1002.520387,100
39103,efficiency,efficiency,7,0,0,1118,969.0913498,100
2016,erratic,bearing_vibration,7,71,34,1013,5.247255754,6.25
2095,erratic,erratic,78,0,0,1047,1109.555797,100
2186,erratic,increase,8,70,333,714,14.95376551,1.946472019
2230,erratic,motor,6,72,29,1018,4.316592714,5.607476636
2287,erratic,reading,13,65,68,979,9.770403254,8.904109589
2311,erratic,spike,7,71,32,1015,5.931632802,6.363636364
2893,exciter,exciter,6,0,0,1119,944.3911428,100
3292,exhaust,exhaust,21,0,0,1104,1071.071798,100
3552,exhaust,turbine,6,15,42,1062,25.18157492,9.523809524
5287,exhaust_temp,exhaust_temp,19,0,0,1106,1065.578378,100
5525,exhaust_temp,temperature,16,3,359,747,20.24320096,4.232804233
6484,fan,fan,41,0,0,1084,1096.70336,100
6608,fan,motor,7,34,28,1056,22.92081822,10.14492754
6718,fan,temp_increased,6,35,56,1028,5.104211182,6.18556701
6747,fan,vib,8,33,35,1049,24.23712719,10.52631579
7186,fan_ib_bearing,bearing_metal_temp,7,4,125,989,24.05585555,5.147058824
7282,fan_ib_bearing,fan_ib_bearing,11,0,0,1114,1024.087909,100
7357,fan_ib_bearing,ib_bearing_temp,6,5,13,1101,156.1530192,25
7681,fan_ob,fan_ob,8,0,0,1117,987.8255423,100
10075,filter_dp,filter_dp,12,0,0,1113,1032.234686,100
10214,filter_dp,oil_filter_dp,8,4,0,1113,655.8752764,66.66666667
11671,flatline,flatline,75,0,0,1050,1108.985969,100
11738,flatline,increase,10,65,331,719,10.12106426,2.463054187
11781,flatline,model,6,69,188,862,4.143121815,2.281368821
11828,flatline,pump,6,69,29,1021,4.752445703,5.769230769
11839,flatline,reading,13,62,68,982,10.77800014,9.090909091
